2024-04-27 03:02:09,182 INFO    MainThread:28088 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-27 03:02:09,183 INFO    MainThread:28088 [wandb_setup.py:_flush():76] Configure stats pid to 28088
2024-04-27 03:02:09,183 INFO    MainThread:28088 [wandb_setup.py:_flush():76] Loading settings from C:\Users\50650\.config\wandb\settings
2024-04-27 03:02:09,183 INFO    MainThread:28088 [wandb_setup.py:_flush():76] Loading settings from E:\Codes\Projects\Introduction-to-Artificial-Intelligence\Classification\src\wandb\settings
2024-04-27 03:02:09,183 INFO    MainThread:28088 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-27 03:02:09,183 INFO    MainThread:28088 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-27 03:02:09,183 INFO    MainThread:28088 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Classification\\src\\main.py', 'program_abspath': 'E:\\Codes\\Projects\\Introduction-to-Artificial-Intelligence\\Classification\\src\\main.py', 'program': 'E:\\Codes\\Projects\\Introduction-to-Artificial-Intelligence\\Classification\\src\\main.py'}
2024-04-27 03:02:09,183 INFO    MainThread:28088 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-27 03:02:09,184 INFO    MainThread:28088 [wandb_init.py:_log_setup():521] Logging user logs to E:\Codes\Projects\Introduction-to-Artificial-Intelligence\Classification\src\wandb\run-20240427_030209-3di3phjq\logs\debug.log
2024-04-27 03:02:09,184 INFO    MainThread:28088 [wandb_init.py:_log_setup():522] Logging internal logs to E:\Codes\Projects\Introduction-to-Artificial-Intelligence\Classification\src\wandb\run-20240427_030209-3di3phjq\logs\debug-internal.log
2024-04-27 03:02:09,184 INFO    MainThread:28088 [wandb_init.py:init():561] calling init triggers
2024-04-27 03:02:09,184 INFO    MainThread:28088 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-04-27 03:02:09,184 INFO    MainThread:28088 [wandb_init.py:init():611] starting backend
2024-04-27 03:02:09,184 INFO    MainThread:28088 [wandb_init.py:init():615] setting up manager
2024-04-27 03:02:09,195 INFO    MainThread:28088 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-04-27 03:02:09,201 INFO    MainThread:28088 [wandb_init.py:init():623] backend started and connected
2024-04-27 03:02:09,225 INFO    MainThread:28088 [wandb_init.py:init():715] updated telemetry
2024-04-27 03:02:09,814 INFO    MainThread:28088 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-27 03:02:10,703 INFO    MainThread:28088 [wandb_run.py:_on_init():2357] communicating current version
2024-04-27 03:02:11,218 INFO    MainThread:28088 [wandb_run.py:_on_init():2366] got version response 
2024-04-27 03:02:11,218 INFO    MainThread:28088 [wandb_init.py:init():799] starting run threads in backend
2024-04-27 03:02:11,805 INFO    MainThread:28088 [wandb_run.py:_console_start():2335] atexit reg
2024-04-27 03:02:11,805 INFO    MainThread:28088 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-27 03:02:11,806 INFO    MainThread:28088 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-27 03:02:11,806 INFO    MainThread:28088 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-27 03:02:11,806 INFO    MainThread:28088 [wandb_init.py:init():842] run started, returning control to user process
